,_entropy_hour,_label,_rate,_total,cnt_event_type,ntfid_arp,ntfid_box_conn,ntfid_box_discon,ntfid_conn_at_home,ntfid_def_pass,ntfid_device_router,ntfid_identify,ntfid_inapp,ntfid_net_attack,ntfid_net_control,ntfid_net_controlblk,ntfid_new_client_ver,ntfid_new_device,ntfid_ransomware,ntfid_web_filter,ntfid_web_filter_blk,ntfid_web_filter_deny,ntfid_web_threat
22f87e7e12192a5d7af2277dc60c0e71,1.25735762235,1,0.941515426727,48,48,0.0,0.0416666666667,0.0416666666667,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0416666666667,0.0,0.0,0.0,0.0,0.25
9c761f51698f05834f7f03ffc956e91a,2.12659657718,1,0.997648837886,100,100,0.0,0.06,0.14,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.52,0.0,0.08,0.0,0.0,0.0,0.0,0.19
f713f0d7db396cf887356dcdf8222ccd,2.94700477016,1,0.999791823296,566,566,0.0,0.0,0.00706713780919,0.128975265018,0.0,0.0,0.0,0.240282685512,0.00353356890459,0.0,0.558303886926,0.0017667844523,0.0017667844523,0.0,0.0,0.0494699646643,0.0,0.00883392226148
4eb8d32f3d950a602a5f453b1c1a17ec,1.98927004109,1,0.996333812908,105,105,0.0,0.0,0.0190476190476,0.390476190476,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.180952380952,0.0,0.0,0.0,0.0,0.0571428571429,0.0,0.00952380952381
dff3680e5c7e3d05257f633f34a4044c,0.860203062805,1,0.995162180785,11,11,0.0,0.0,0.272727272727,0.0,0.0,0.0,0.0,0.0,0.181818181818,0.0,0.0,0.0,0.0909090909091,0.0,0.0,0.0,0.0,0.454545454545
093f2aecd10063d130e14cabf21dba24,1.34226730444,1,0.996318442248,25,25,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.04
f44159d25f23db8680238edcb4227505,1.85603623442,1,0.998335461996,73,73,0.013698630137,0.0958904109589,0.0821917808219,0.0,0.0,0.0,0.0,0.0958904109589,0.465753424658,0.041095890411,0.0,0.0,0.0821917808219,0.0,0.0,0.0,0.0,0.123287671233
9f6af2cfe7e71a4e6b83a9d07327c04d,2.57862917389,1,0.997206632579,334,334,0.0,0.0,0.00299401197605,0.0,0.0,0.0,0.0,0.374251497006,0.0,0.562874251497,0.00299401197605,0.00299401197605,0.0239520958084,0.0,0.0299401197605,0.0,0.0,0.0
b2e4be91b357542af01c6107228034be,0.56608573896,0,0.583270851268,6,6,0.0,0.333333333333,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.0,0.0,0.0,0.333333333333
9cb9f87842deeb7379af0efd9bbafd1d,1.16338686987,1,0.999837807002,42,42,0.0,0.047619047619,0.428571428571,0.0,0.0,0.0,0.0,0.0,0.047619047619,0.0,0.0,0.047619047619,0.047619047619,0.0,0.0,0.0,0.0,0.380952380952
54359876fcac22defdf4224e945bc145,0.173205206749,1,0.947018287076,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87f6d5199c2c292d0c529b5126041ce7,1.01328432955,1,0.997286408937,15,15,0.0,0.133333333333,0.0666666666667,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133333333333
19bea0665c1e904a23414a0759f1219f,2.61458943295,1,0.99856274541,599,599,0.0,0.465776293823,0.465776293823,0.0,0.0,0.0016694490818,0.0,0.0,0.0417362270451,0.0,0.0,0.0,0.0200333889816,0.0,0.0,0.0,0.0,0.00333889816361
522d0e0b81ed2ada829b824c31d64240,1.28300412937,0,0.948827719991,69,69,0.0,0.260869565217,0.217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434782608696,0.0,0.0,0.0,0.0,0.478260869565
