,_entropy_hour,_label,_rate,_total,cnt_event_type,ntfid_arp,ntfid_box_conn,ntfid_box_discon,ntfid_conn_at_home,ntfid_defaut_pass,ntfid_device_router,ntfid_net_controlblk,ntfid_new_device,ntfid_web_threat
22f87e7e12192a5d7af2277dc60c0e71,1.25735762235,1,0.941515426727,-0.212046500197,-0.212046500197,0.0,0.0416666666667,0.0416666666667,0.0,0.0,0.0,0.0,0.0416666666667,0.25
9c761f51698f05834f7f03ffc956e91a,2.12659657718,1,0.997648837886,-0.0665404783893,-0.0665404783893,0.0,0.06,0.14,0.0,0.0,0.0,0.52,0.08,0.19
f713f0d7db396cf887356dcdf8222ccd,2.94700477016,1,0.999791823296,1.23741733242,1.23741733242,0.0,0.0,0.00706713780919,0.128975265018,0.0,0.0,0.558303886926,0.0017667844523,0.00883392226148
4eb8d32f3d950a602a5f453b1c1a17ec,1.98927004109,1,0.996333812908,-0.052549514754,-0.052549514754,0.0,0.0,0.0190476190476,0.390476190476,0.0,0.0,0.180952380952,0.0,0.00952380952381
dff3680e5c7e3d05257f633f34a4044c,0.860203062805,1,0.995162180785,-0.315579631098,-0.315579631098,0.0,0.0,0.272727272727,0.0,0.0,0.0,0.0,0.0909090909091,0.454545454545
093f2aecd10063d130e14cabf21dba24,1.34226730444,1,0.996318442248,-0.276404932919,-0.276404932919,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.16,0.04
f44159d25f23db8680238edcb4227505,1.85603623442,1,0.998335461996,-0.14209168202,-0.14209168202,0.013698630137,0.0958904109589,0.0821917808219,0.0,0.0,0.0,0.0,0.0821917808219,0.123287671233
9f6af2cfe7e71a4e6b83a9d07327c04d,2.57862917389,1,0.997206632579,0.588236619745,0.588236619745,0.0,0.0,0.00299401197605,0.0,0.0,0.0,0.00299401197605,0.0239520958084,0.0
b2e4be91b357542af01c6107228034be,0.56608573896,0,0.583270851268,-0.329570594734,-0.329570594734,0.0,0.333333333333,0.166666666667,0.0,0.0,0.0,0.0,0.166666666667,0.333333333333
9cb9f87842deeb7379af0efd9bbafd1d,1.16338686987,1,0.999837807002,-0.228835656559,-0.228835656559,0.0,0.047619047619,0.428571428571,0.0,0.0,0.0,0.0,0.047619047619,0.380952380952
54359876fcac22defdf4224e945bc145,0.173205206749,1,0.947018287076,-0.343561558369,-0.343561558369,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
87f6d5199c2c292d0c529b5126041ce7,1.01328432955,1,0.997286408937,-0.30438686019,-0.30438686019,0.0,0.133333333333,0.0666666666667,0.0,0.0,0.0,0.0,0.0,0.133333333333
19bea0665c1e904a23414a0759f1219f,2.61458943295,1,0.99856274541,1.32975769242,1.32975769242,0.0,0.465776293823,0.465776293823,0.0,0.0,0.0016694490818,0.0,0.0200333889816,0.00333889816361
522d0e0b81ed2ada829b824c31d64240,1.28300412937,0,0.948827719991,-0.153284452928,-0.153284452928,0.0,0.260869565217,0.217391304348,0.0,0.0,0.0,0.0,0.0434782608696,0.478260869565
d685b2f676b806af13a9e4c01a669657,1.31578668304,1,0.9397738246,-0.279203125647,-0.279203125647,0.0,0.0,0.0416666666667,0.0,0.0,0.0,0.0,0.0416666666667,0.208333333333
b8805ad9c0435ed3bb639ed3d2f807a8,1.10821535519,1,0.99804302813,-0.287597703828,-0.287597703828,0.0,0.0,0.857142857143,0.0,0.0,0.0,0.0,0.047619047619,0.047619047619
3d22cf0faf9c3c6c442b1e4568dadca8,0.623848004006,0,0.9175635631,-0.32397420928,-0.32397420928,0.0,0.0,0.5,0.0,0.125,0.0,0.0,0.25,0.125
6e63ce57b28bc2a4b8b404df714bddc5,1.5236208972,1,0.986142899191,-0.198055536562,-0.198055536562,0.0,0.0,0.132075471698,0.0,0.0,0.0,0.679245283019,0.0188679245283,0.0754716981132
768c1a6fa668d6ba582b72ab8139358f,0.376770161256,1,0.999455105068,-0.337965172915,-0.337965172915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7fcba8699413d8a553b255e863b73c19,1.27022812514,1,0.998344473078,-0.273606740192,-0.273606740192,0.307692307692,0.115384615385,0.115384615385,0.0,0.0,0.0384615384615,0.0,0.423076923077,0.0
a7692321403a2717cf6b388c786a431b,1.82846577267,1,0.999052927292,-0.181266380199,-0.181266380199,0.0,0.0338983050847,0.0847457627119,0.0,0.0169491525424,0.0,0.0,0.203389830508,0.525423728814
caf4a8e37767745a310fac4f5bb47e42,1.7694950061,1,0.999375733963,-0.144889874747,-0.144889874747,0.0,0.0277777777778,0.0277777777778,0.583333333333,0.0416666666667,0.0,0.0,0.25,0.0277777777778
71024dc6002c4edae88fdf73a6181ed4,0.544283732969,1,0.999272666791,-0.329570594734,-0.329570594734,0.0,0.333333333333,0.166666666667,0.0,0.0,0.0,0.0,0.166666666667,0.0
23f2fdb7e0e428a65d7f19d238559cad,0.51409669734,1,0.992813935217,-0.315579631098,-0.315579631098,0.454545454545,0.0,0.0,0.0,0.0,0.0909090909091,0.0,0.454545454545,0.0
db1b4f4f36090933279ea1617502b217,1.0710465946,0,0.997421790574,-0.290395896555,-0.290395896555,0.0,0.3,0.25,0.0,0.0,0.0,0.0,0.2,0.2
