,_death,_entropy_hour,_label,_rate,_total,dcnt_catid,dcnt_device,dcnt_profile,dcnt_rule,net_access,net_buf_overflow,net_ddos,net_misc,net_scan,net_virus,net_web_attack,network_attack,ra_network_attack,ra_weak_password,ra_web_threat
22f87e7e12192a5d7af2277dc60c0e71,1.20599224434,1.54863013076,1,0.941515426727,-0.0521960223129,5,4,1,3,0.08,0.92,0.0,0.0,0.0,0.0,0.0,0.694444444444,0.694444444444,0.0,0.305555555556
9c761f51698f05834f7f03ffc956e91a,-0.327630261246,1.34226730444,1,0.997648837886,-0.0655007801668,4,3,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0416666666667,0.0,0.958333333333
f713f0d7db396cf887356dcdf8222ccd,-0.413906144601,0.674975446835,1,0.999791823296,-0.0843491871264,6,3,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285714285714,0.285714285714,0.0,0.714285714286
4eb8d32f3d950a602a5f453b1c1a17ec,-0.39919798985,0.173205206749,1,0.996333812908,-0.0910015660533,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dff3680e5c7e3d05257f633f34a4044c,-0.379014398799,0.674975446835,1,0.995162180785,-0.074370618736,4,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.125,0.0,0.875
093f2aecd10063d130e14cabf21dba24,-0.393439341328,1.11343211326,1,0.996318442248,-0.0555222117764,2,2,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.969696969697,0.969696969697,0.0,0.030303030303
f44159d25f23db8680238edcb4227505,-0.394034086995,2.10479457119,1,0.998335461996,0.0209801458833,5,3,1,3,0.881720430108,0.0,0.0,0.0,0.118279569892,0.0,0.0,0.911764705882,0.911764705882,0.0,0.0882352941176
cedb69fd9b2b40975d7ef2757fc3a74c,0.363615250403,0.544283732969,1,0.972823462901,-0.0776968081995,2,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
b2e4be91b357542af01c6107228034be,2.11765238828,0.286835983056,0,0.583270851268,-0.0898928362322,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9cb9f87842deeb7379af0efd9bbafd1d,-0.409355868227,0.882383053075,1,0.999837807002,-0.0799142678418,5,3,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909091,0.0909090909091,0.0,0.909090909091
1ee2fb2e0ff7ef8942b15af459213225,-0.0233281686717,0.544283732969,1,0.940009802456,-0.0865666467687,4,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,0.0,0.6
87f6d5199c2c292d0c529b5126041ce7,-0.406873041077,1.04085002362,1,0.997286408937,-0.0710444292725,3,3,1,3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.842105263158,0.842105263158,0.0,0.157894736842
