,_entropy_hour,_label,_rate,_total,cnt_firmware_ver,cnt_payload_ip,cnt_profile_id,condition_updated,payload_lastwill,payload_malf_false,payload_malf_true,ratio_offline,ratio_online
baee6915f0c6f6472f0576c63f472bc4,2.49906490285,1,0.999749921296,0.101011618831,6,70,2,0,102,0.188605796464,-0.0480933952162,0.517073170732,0.482926829268
9c761f51698f05834f7f03ffc956e91a,2.71595570997,1,0.997648837886,0.37159238672,2,135,2,132,36,0.606323531029,-0.0480933952162,0.0981432360743,0.901856763926
1ee2fb2e0ff7ef8942b15af459213225,0.344598248103,1,0.940009802456,-0.215190325039,2,2,2,0,1,-0.299541091021,-0.0480933952162,0.5,0.5
f713f0d7db396cf887356dcdf8222ccd,1.40521213923,1,0.999791823296,-0.174288581056,5,6,2,0,10,-0.236397712541,-0.0480933952162,0.433333333333,0.566666666667
4eb8d32f3d950a602a5f453b1c1a17ec,0.456334432293,1,0.996333812908,-0.213617181039,1,2,2,0,2,-0.297112499541,-0.0480933952162,0.4,0.6
dff3680e5c7e3d05257f633f34a4044c,0.623848004006,1,0.995162180785,-0.210470893041,1,2,2,0,3,-0.292255316581,-0.0480933952162,0.428571428571,0.571428571429
093f2aecd10063d130e14cabf21dba24,1.19671112943,1,0.996318442248,-0.183727445052,1,3,2,0,9,-0.250969261421,-0.0480933952162,0.375,0.625
f44159d25f23db8680238edcb4227505,1.76231371031,1,0.998335461996,0.0129155548673,2,2,3,111,16,0.0501760821026,-0.0445178221875,0.114093959732,0.885906040268
cedb69fd9b2b40975d7ef2757fc3a74c,0.997907583168,1,0.972823462901,-0.18844687705,2,2,2,1,8,-0.258255035861,-0.0480933952162,0.428571428571,0.571428571429
b2e4be91b357542af01c6107228034be,0.952512746879,0,0.583270851268,-0.18687373305,1,2,2,18,2,-0.255826444381,-0.0480933952162,0.0909090909091,0.909090909091
9cb9f87842deeb7379af0efd9bbafd1d,1.79063021645,1,0.999837807002,-0.11450910908,8,3,2,26,14,-0.1441112363,-0.0480933952162,0.279411764706,0.720588235294
